facility_id,facility_name,facility_type,assigned_barangay_psgc,assigned_barangay_name,capacity_synth,status_synth,longitude_wgs84,latitude_wgs84,easting_epsg32651_m,northing_epsg32651_m,source_status
TRN-FAC-001,Training Facility 01,Evacuation Center,0401014001,Adya,100,Operational,121.108155,13.88,295559.54,1535264.86,SYNTHETIC_TRAINING
TRN-FAC-002,Training Facility 02,School,0401014005,Antipolo Del Norte,150,Operational,121.138957,13.88,298889.17,1535238.69,SYNTHETIC_TRAINING
TRN-FAC-003,Training Facility 03,Health Center,0401014008,San Sebastian,200,For verification,121.168611,13.88,302094.64,1535213.9,SYNTHETIC_TRAINING
TRN-FAC-004,Training Facility 04,Multipurpose Hall,0401014011,Bolbok,250,Operational,121.205561,13.88,306088.71,1535183.58,SYNTHETIC_TRAINING
TRN-FAC-005,Training Facility 05,Evacuation Center,0401014014,Bulaklakan,300,Operational,121.239625,13.88,309770.85,1535156.17,SYNTHETIC_TRAINING
TRN-FAC-006,Training Facility 06,School,0401014017,Dagatan,400,Operational,121.09,13.900895,293615.48,1537592.53,SYNTHETIC_TRAINING
TRN-FAC-007,Training Facility 07,Health Center,0401014021,Inosloban,100,For verification,121.115203,13.90439,296342.72,1537957.53,SYNTHETIC_TRAINING
TRN-FAC-008,Training Facility 08,Multipurpose Hall,0401014025,Lodlod,150,Operational,121.144214,13.905345,299479.27,1538038.63,SYNTHETIC_TRAINING
TRN-FAC-009,Training Facility 09,Evacuation Center,0401014028,Malagonlong,200,Operational,121.175926,13.894575,302897.76,1536820.48,SYNTHETIC_TRAINING
TRN-FAC-010,Training Facility 10,School,0401014031,Mataas Na Lupa,250,Operational,121.207129,13.904611,306278.76,1537905.28,SYNTHETIC_TRAINING
TRN-FAC-011,Training Facility 11,Health Center,0401014034,Pagolingin East,300,For verification,121.237752,13.901766,309586.16,1537565.85,SYNTHETIC_TRAINING
TRN-FAC-012,Training Facility 12,Multipurpose Hall,0401014037,Pinagkawitan,400,Operational,121.09,13.92087,293633.2,1539802.69,SYNTHETIC_TRAINING
TRN-FAC-013,Training Facility 13,Evacuation Center,0401014040,Poblacion Barangay 1,100,Operational,121.120484,13.932398,296937.99,1541052.0,SYNTHETIC_TRAINING
TRN-FAC-014,Training Facility 14,School,0401014043,Poblacion Barangay 2,150,Operational,121.145191,13.923621,299600.6,1540059.97,SYNTHETIC_TRAINING
TRN-FAC-015,Training Facility 15,Health Center,0401014046,Poblacion Barangay 5,200,For verification,121.177281,13.923003,303068.22,1539964.78,SYNTHETIC_TRAINING
TRN-FAC-016,Training Facility 16,Multipurpose Hall,0401014049,Poblacion Barangay 8,250,Operational,121.207761,13.929493,306367.7,1540657.86,SYNTHETIC_TRAINING
TRN-FAC-017,Training Facility 17,Evacuation Center,0401014052,Quezon,300,Operational,121.230921,13.920883,308863.52,1539686.51,SYNTHETIC_TRAINING
TRN-FAC-018,Training Facility 18,School,0401014055,Sampaguita,400,Operational,121.09,13.94818,293657.47,1542824.58,SYNTHETIC_TRAINING
TRN-FAC-019,Training Facility 19,Health Center,0401014058,San Celestino,100,For verification,121.11818,13.956261,296709.9,1543694.38,SYNTHETIC_TRAINING
TRN-FAC-020,Training Facility 20,Multipurpose Hall,0401014061,San Jose,150,Operational,121.146303,13.950212,299743.76,1543001.19,SYNTHETIC_TRAINING
TRN-FAC-021,Training Facility 21,Evacuation Center,0401014064,Sapac,200,Operational,121.172305,13.947378,302551.19,1542665.86,SYNTHETIC_TRAINING
TRN-FAC-022,Training Facility 22,School,0401014069,Santo Toribio,250,Operational,121.20823,13.954516,306439.29,1543426.01,SYNTHETIC_TRAINING
TRN-FAC-023,Training Facility 23,Health Center,0401014072,Tangob,300,For verification,121.228274,13.951202,308602.54,1543043.12,SYNTHETIC_TRAINING
TRN-FAC-024,Training Facility 24,Multipurpose Hall,0401014075,Tipacan,400,Operational,121.09,13.984534,293689.85,1546847.11,SYNTHETIC_TRAINING
