psgc_10_digit,correspondence_code,barangay_name,urban_rural,population_2024,source_status,source_url
0401014001,041014001,Adya,Urban,2144,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014003,041014003,Anilao,Rural,5019,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014004,041014004,Anilao-Labac,Urban,4605,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014005,041014005,Antipolo Del Norte,Urban,6628,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014006,041014006,Antipolo Del Sur,Urban,7708,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014007,041014007,Bagong Pook,Urban,6709,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014008,041014008,San Sebastian,Urban,3503,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014009,041014009,Balintawak,Urban,19063,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014010,041014010,Banaybanay,Urban,11559,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014011,041014011,Bolbok,Urban,9582,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014012,041014012,Bugtong na Pulo,Urban,9068,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014013,041014013,Bulacnin,Urban,8688,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014014,041014014,Bulaklakan,Rural,1597,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014015,041014015,Calamias,Rural,2107,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014016,041014016,Cumba,Urban,3923,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014017,041014017,Dagatan,Urban,4538,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014018,041014018,Duhatan,Rural,3153,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014020,041014020,Halang,Rural,1753,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014021,041014021,Inosloban,Urban,16214,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014022,041014022,Kayumanggi,Urban,7827,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014024,041014024,Latag,Urban,9230,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014025,041014025,Lodlod,Urban,12804,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014026,041014026,Lumbang,Rural,4836,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014027,041014027,Mabini,Urban,6815,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014028,041014028,Malagonlong,Rural,2087,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014029,041014029,Malitlit,Rural,1718,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014030,041014030,Marauoy,Urban,16305,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014031,041014031,Mataas Na Lupa,Urban,5189,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014032,041014032,Munting Pulo,Rural,5635,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014033,041014033,Pagolingin Bata,Rural,1440,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014034,041014034,Pagolingin East,Rural,2238,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014035,041014035,Pagolingin West,Rural,2178,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014036,041014036,Pangao,Urban,7774,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014037,041014037,Pinagkawitan,Urban,8560,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014038,041014038,Pinagtongulan,Urban,4155,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014039,041014039,Plaridel,Urban,5623,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014040,041014040,Poblacion Barangay 1,Urban,3261,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014041,041014041,Poblacion Barangay 10,Rural,2413,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014042,041014042,Poblacion Barangay 11,Urban,393,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014043,041014043,Poblacion Barangay 2,Urban,2207,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014044,041014044,Poblacion Barangay 3,Urban,2199,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014045,041014045,Poblacion Barangay 4,Urban,424,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014046,041014046,Poblacion Barangay 5,Urban,385,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014047,041014047,Poblacion Barangay 6,Urban,556,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014048,041014048,Poblacion Barangay 7,Urban,4459,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014049,041014049,Poblacion Barangay 8,Urban,465,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014050,041014050,Poblacion Barangay 9,Urban,455,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014051,041014051,Pusil,Rural,3659,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014052,041014052,Quezon,Rural,2984,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014053,041014053,Rizal,Rural,3275,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014054,041014054,Sabang,Urban,23674,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014055,041014055,Sampaguita,Urban,10006,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014056,041014056,San Benito,Rural,4282,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014057,041014057,San Carlos,Urban,7416,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014058,041014058,San Celestino,Rural,3133,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014059,041014059,San Francisco,Rural,3373,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014060,041014060,San Guillermo,Rural,1676,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014061,041014061,San Jose,Urban,7872,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014062,041014062,San Lucas,Urban,6014,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014063,041014063,San Salvador,Rural,4555,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014064,041014064,Sapac,Urban,6582,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014066,041014066,Sico,Urban,5191,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014068,041014068,Santo Ni,Urban,3463,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014069,041014069,Santo Toribio,Rural,3752,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014070,041014070,Talisay,Urban,4883,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014071,041014071,Tambo,Urban,10162,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014072,041014072,Tangob,Rural,2944,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014073,041014073,Tanguay,Rural,4386,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014074,041014074,Tibig,Urban,9529,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014075,041014075,Tipacan,Urban,3561,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014076,041014076,Poblacion Barangay 9-A,Rural,657,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
0401014077,041014077,Barangay 12,Rural,1171,OFFICIAL_REFERENCE,https://psa.gov.ph/classification/psgc/barangays/0401014000
