record_id,psgc_10_digit,correspondence_code,barangay_name,urban_rural,population_2024,estimated_households,area_km2_synth,population_density_synth,senior_citizen_pct_synth,children_0_14_pct_synth,pwd_count_synth,low_income_household_pct_synth,internet_access_pct_synth,improved_water_access_pct_synth,solid_waste_collection_coverage_pct_synth,school_count_synth,health_facility_count_synth,evacuation_center_count_synth,evacuation_capacity_synth,road_length_km_synth,paved_road_pct_synth,streetlight_count_synth,flood_exposure_class_synth,landslide_exposure_class_synth,fire_incidents_2025_synth,flood_incidents_2025_synth,avg_emergency_response_min_synth,last_updated_synth,data_status_synth
1,0401014001,041014001,Adya,Urban,2144,475,4.05,529.4,7.6,30.5,22,8.6,83.9,92.3,79.4,1,0,1,523,8.4,97.5,75,Moderate,Low,0,2,13.5,2026-08-14,Complete
2,0401014003,041014003,Anilao,Rural,5019,1302,8.05,623.5,11.5,21.2,107,36.0,40.8,68.7,59.7,1,1,1,340,8.5,80.3,93,High,Moderate,0,1,16.1,2026-08-09,Complete
3,0401014004,041014004,Anilao-Labac,Urban,4605,1080,1.27,3626.0,11.3,26.6,116,26.1,86.4,88.2,97.0,1,0,1,206,7.3,92.0,98,Low,Low,0,2,16.2,2026-09-13,Complete
4,0401014005,041014005,Antipolo Del Norte,Urban,6628,1787,4.44,1492.8,10.3,26.8,127,19.8,65.2,86.6,83.7,1,1,1,233,3.5,99.1,61,High,Low,0,0,14.5,2026-09-04,Complete
5,0401014006,041014006,Antipolo Del Sur,Urban,7708,1956,2.25,3425.8,7.4,28.7,171,20.8,63.2,97.2,79.2,2,1,1,188,11.8,87.3,217,Moderate,Moderate,1,1,6.0,2026-09-11,Complete
6,0401014007,041014007,Bagong Pook,Urban,6709,1509,5.18,1295.2,11.0,29.9,169,16.5,81.8,91.2,99.0,2,1,1,327,6.6,85.6,100,High,Low,0,1,6.1,2026-08-08,Needs Review
7,0401014008,041014008,San Sebastian,Urban,3503,811,5.24,668.5,6.7,28.7,72,23.4,74.9,87.6,98.8,1,0,1,326,14.5,98.5,149,Moderate,Low,1,2,11.0,2026-09-02,Complete
8,0401014009,041014009,Balintawak,Urban,19063,4606,1.32,14441.7,8.2,30.5,336,14.6,86.1,89.6,90.1,3,2,3,1548,8.9,92.9,158,Moderate,Low,2,1,14.5,2026-08-18,Complete
9,0401014010,041014010,Banaybanay,Urban,11559,2866,4.68,2469.9,10.3,26.4,153,9.9,,96.7,86.7,2,2,2,542,10.3,89.8,204,Low,Low,1,0,16.4,2026-08-25,Needs Review
10,0401014011,041014011,Bolbok,Urban,9582,2155,2.04,4697.1,7.3,22.7,139,23.7,95.0,94.8,80.5,1,1,2,1290,3.3,81.7,29,Low,Low,2,0,10.9,2026-09-10,Complete
11,0401014012,041014012,Bugtong na Pulo,Urban,9068,1979,2.94,3084.4,11.4,29.9,199,13.9,69.9,91.0,83.1,2,1,3,1563,9.4,88.2,163,Low,Moderate,2,2,14.7,2026-08-09,Complete
12,0401014013,041014013,Bulacnin,Urban,8688,2347,1.54,5641.6,7.1,28.5,186,9.2,80.3,97.0,90.8,2,1,1,616,11.4,99.1,153,Very High,Moderate,0,0,17.0,2026-08-17,Complete
13,0401014014,041014014,Bulaklakan,rural,1597,385,7.52,212.4,6.5,30.3,44,14.5,78.5,67.1,61.7,1,0,1,561,10.0,67.2,185,Moderate,Low,1,1,9.1,2026-08-21,Complete
14,0401014015,041014015,Calamias,Rural,2107,533,2.8,752.5,8.0,23.2,37,18.5,46.4,89.5,78.8,1,0,1,360,19.5,72.4,369,Moderate,High,0,1,17.4,2026-09-04,Complete
15,0401014016,041014016,Cumba,Urban,3923,1019,5.39,727.8,10.0,24.9,101,13.4,67.7,98.2,83.2,1,0,1,215,13.1,97.2,210,Moderate,Moderate,0,1,11.0,2026-08-13,Complete
16,0401014017,041014017,Dagatan,Urban,4538,1083,1.98,2291.9,6.0,22.7,112,26.0,86.0,89.1,78.4,1,0,1,447,11.9,80.3,269,Low,Low,0,0,8.6,2026-09-07,Complete
17,0401014018,041014018,Duhatan,Rural,3153,823,7.55,417.6,11.0,28.4,70,19.5,71.2,77.0,71.1,1,0,1,274,8.9,67.8,79,Low,Moderate,0,0,13.9,2026-09-18,Complete
18,0401014020,041014020,Halang,Rural,1753,405,3.23,542.7,8.1,22.9,20,28.2,52.4,95.8,91.6,1,0,1,625,10.9,62.2,209,Low,Low,1,1,16.1,2026-09-15,Complete
19,0401014021,041014021,Inosloban,Urban,16214,4040,2.8,5790.7,7.5,24.3,442,23.6,64.4,91.5,91.0,2,2,2,1298,15.1,88.5,205,Moderate,Moderate,2,0,13.4,2026-08-12,Complete
20,0401014022,041014022,Kayumanggi,Urban,7827,1884,5.27,1485.2,9.8,23.6,144,24.4,86.7,86.1,94.4,1,1,1,233,14.3,85.1,324,Low,High,0,0,14.0,2026-08-28,Complete
21,0401014024,041014024,Latag,Urban,9230,2105,1.15,8026.1,8.0,20.2,140,17.4,64.0,84.0,85.2,2,1,3,,14.0,94.5,182,Moderate,Low,1,1,11.4,2026-09-13,Needs Review
22,0401014025,041014025,Lodlod,Urban,12804,2795,5.64,2270.2,8.1,28.0,237,20.8,63.6,95.4,95.6,4,1,2,974,10.7,85.9,122,High,Moderate,2,4,12.5,2026-08-31,Complete
23,0401014026,041014026,Lumbang,Rural,4836,1064,2.11,2291.9,9.6,27.6,66,31.4,40.8,86.4,66.0,1,0,1,236,16.8,63.8,393,Moderate,High,1,1,12.7,2026-09-02,Complete
24,0401014027,041014027,Mabini,Urban,6815,1558,1.95,3494.9,9.5,27.4,94,13.2,74.8,84.6,91.2,2,1,1,544,14.2,93.1,187,Moderate,High,1,1,13.5,2026-09-04,Complete
25,0401014028,041014028,Malagonlong,Rural,2087,487,5.41,385.8,11.2,29.7,34,21.6,47.3,85.1,67.9,1,0,1,533,14.5,78.1,219,Moderate,Moderate,1,2,10.2,2026-09-02,Complete
26,0401014029,041014029,Malitlit,Rural,1718,418,1.33,1291.7,6.9,25.3,18,35.4,56.8,67.9,104.5,1,0,1,295,8.3,81.1,87,Moderate,Very High,0,2,16.7,2026-09-13,Needs Review
27,0401014030,041014030,Marauoy,Urban,16305,3700,0.63,25881.0,5.7,25.6,209,23.6,82.0,97.2,93.2,4,1,3,1413,8.5,94.3,122,High,Moderate,3,0,11.2,2026-08-24,Complete
28,0401014031,041014031,Mataas Na Lupa,Urban,5189,1224,4.94,1050.4,7.2,24.2,101,24.4,82.1,89.3,87.9,1,0,1,208,5.4,98.8,53,High,High,1,2,13.9,2026-08-19,Complete
29,0401014032,041014032,Munting Pulo,Rural,5635,1366,1.99,2831.7,8.1,31.2,154,18.7,45.7,90.0,88.3,1,0,1,598,7.3,77.6,146,Low,Low,0,0,8.6,2026-09-11,Complete
30,0401014033,041014033,Pagolingin Bata ,Rural,1440,330,7.83,183.9,10.3,28.2,24,18.1,39.0,85.8,77.1,1,0,1,501,8.8,84.5,179,High,Moderate,1,0,14.3,2026-09-05,Complete
31,0401014034,041014034,Pagolingin East,Rural,2238,497,6.7,334.0,10.5,25.5,41,31.7,41.4,79.7,80.0,1,0,1,519,12.9,71.6,244,Moderate,Low,1,2,10.6,2026-08-24,Complete
32,0401014035,041014035,Pagolingin West,Rural,2178,494,4.2,518.6,11.4,22.7,40,12.4,77.7,81.2,85.5,1,0,1,453,18.5,68.0,399,Moderate,Low,0,0,6.8,2026-09-02,Complete
33,0401014036,041014036,Pangao,Urban,7774,2058,5.53,1405.8,11.4,28.8,127,10.7,95.3,96.5,87.9,1,1,1,333,14.6,87.5,195,High,Low,1,1,9.0,2026-09-20,Complete
34,0401014037,041014037,Pinagkawitan,Urban,8560,2175,3.83,2235.0,11.6,30.0,91,9.4,64.5,95.4,81.7,2,1,1,349,7.7,83.1,78,VERY HIGH,Moderate,1,1,8.6,2026-09-17,Complete
35,0401014038,041014038,Pinagtongulan,Urban,4155,1077,3.79,1096.3,6.3,28.7,111,19.1,85.6,95.2,90.8,1,0,1,476,5.6,94.6,96,High,Low,1,3,13.6,2026-09-05,Complete
36,0401014039,041014039,Plaridel,Urban,5623,1373,4.26,1320.0,8.1,25.4,139,7.6,84.6,99.7,91.4,1,0,1,455,3.7,83.4,64,Moderate,Low,1,2,11.6,2026-09-07,Complete
37,0401014040,041014040,Poblacion Barangay 1,Urban,3261,871,1.13,2885.8,7.3,23.2,88,12.6,79.1,98.9,94.8,1,0,1,186,15.4,97.3,151,Low,Very High,1,2,7.9,2026-08-28,Complete
38,0401014041,041014041,Poblacion Barangay 10,Rural,2413,535,8.17,295.3,10.6,26.1,24,17.6,66.2,66.3,53.7,1,0,1,406,17.3,59.4,333,Moderate,High,0,1,6.9,2026-09-13,Complete
39,0401014042,041014042,Poblacion Barangay 11,Urban,393,106,4.69,83.8,10.7,22.6,10,17.3,93.4,94.6,81.5,1,0,1,634,3.7,78.6,51,Low,Very High,1,-1,5.9,2026-08-18,Needs Review
40,0401014043,041014043,Poblacion Barangay 2,Urban,2207,498,2.27,972.2,7.2,21.2,61,14.9,65.0,97.6,90.0,1,0,1,219,9.0,85.2,183,Low,Moderate,1,0,8.3,2026-08-01,Complete
41,0401014044,041014044,Poblacion Barangay 3,Urban,2199,498,1.03,2135.0,5.8,31.3,45,9.4,71.5,97.4,90.2,1,0,1,501,5.2,98.6,50,Low,Moderate,1,1,12.9,2026-08-11,Complete
42,0401014045,041014045,Poblacion Barangay 4,Urban,424,113,5.04,84.1,5.9,27.9,9,18.0,67.1,98.5,83.3,1,0,1,252,3.7,93.3,42,High,Low,1,1,14.1,2026-08-05,Complete
43,0401014046,041014046,Poblacion Barangay 5,Urban,385,103,1.48,260.1,5.7,21.7,10,7.3,74.5,99.8,82.7,1,0,1,532,15.7,99.5,138,Moderate,Moderate,0,2,11.0,2026-08-30,Complete
44,0401014047,041014047,Poblacion Barangay 6,Urban,556,142,3.01,184.7,6.7,22.3,6,25.0,89.8,99.4,97.6,1,0,1,500,7.3,90.0,130,Moderate,Low,1,1,12.0,2026-09-13,Complete
45,0401014048,041014048,Poblacion Barangay 7,Urban,4459,1200,4.3,1037.0,9.0,25.8,98,13.2,93.3,,79.3,1,0,1,494,14.4,85.0,326,Moderate,Low,0,2,6.1,2026-08-10,Complete
46,0401014049,041014049,Poblacion Barangay 8,Urban,465,118,0.58,801.7,10.3,25.3,13,16.9,74.1,92.5,88.9,1,0,1,536,10.3,91.7,180,Moderate,Very High,0,2,17.4,2026-08-16,Complete
47,0401014050,041014050,Poblacion Barangay 9,Urban,455,120,1.45,313.8,7.2,21.9,11,7.7,91.0,92.9,92.4,1,0,1,462,3.9,96.0,81,Low,High,1,2,9.4,2026-08-21,Complete
48,0401014051,041014051,Pusil,Rural,3659,986,7.32,499.9,10.7,20.4,92,14.9,65.8,87.3,52.2,1,0,1,577,6.7,78.7,110,Very High,Moderate,0,3,8.2,2026-09-11,Needs Review
49,0401014052,041014052,Quezon,Rural,2984,706,6.85,435.6,6.6,26.5,31,37.0,59.8,69.7,74.0,1,0,1,469,17.8,49.1,423,High,Moderate,0,3,12.3,2026-09-02,Complete
50,0401014053,041014053,Rizal,Rural,3275,866,4.59,713.5,9.7,28.6,82,22.2,56.0,95.9,48.8,1,0,1,539,14.3,72.0,335,Moderate,High,0,2,7.7,2026-08-03,Complete
51,0401014054,041014054,Sabang,Urban,23674,5468,5.34,4433.3,7.9,23.8,346,13.6,76.0,88.9,91.1,5,2,3,708,9.5,81.7,133,Moderate,Low,1,0,7.4,2026-08-24,Complete
52,0401014055,041014055,Sampaguita,Urban,10006,2290,3.1,3227.7,5.7,26.6,113,27.2,88.0,88.1,94.0,2,1,2,984,14.9,97.3,278,Moderate,Low,1,0,9.7,2026-09-11,Needs review
53,0401014056,041014056,San Benito,Rural,4282,1002,2.32,1845.7,10.0,27.7,98,27.9,71.7,73.8,76.8,1,0,1,369,15.8,57.9,370,Low,Low,0,0,13.3,2026-08-25,Complete
54,0401014057,041014057,San Carlos,Urban,7416,1713,5.78,1283.0,11.0,21.0,95,27.7,81.9,84.1,90.7,1,1,1,612,13.1,95.3,243,Low,Moderate,0,1,10.3,2026-08-04,Complete
55,0401014058,041014058,San Celestino,Rural,3133,788,7.8,401.7,11.5,26.6,55,26.3,49.2,73.0,86.7,1,0,1,421,9.2,55.3,147,Moderate,Low,1,0,7.5,2026-08-15,Complete
56,0401014059,041014059,San Francisco,Rural,3373,736,6.31,534.5,10.2,26.0,49,15.2,50.3,66.8,71.9,1,0,1,464,13.9,63.3,320,High,Moderate,1,4,15.6,2026-09-17,Needs Review
57,0401014060,041014060,San Guillermo,Rural,1676,450,2.02,829.7,9.2,27.9,17,25.5,63.3,95.4,74.9,1,0,1,341,16.0,48.7,278,High,Moderate,1,1,8.5,09/14/2026,Complete
58,0401014061,041014061,San Jose,Urban,7872,1747,3.36,2342.9,9.6,26.4,188,19.1,80.1,96.2,80.3,2,1,1,236,13.2,80.9,150,Low,Low,0,2,7.0,2026-09-11,Complete
59,0401014062,041014062,San Lucas,Urban,6014,1434,5.76,1044.1,8.8,30.4,96,25.4,85.4,92.6,80.4,1,0,1,248,4.8,96.3,63,Moderate,Low,0,2,9.1,2026-09-19,Complete
60,0401014063,041014063,San Salvador,Rural,4555,1093,7.14,638.0,9.3,30.3,107,22.9,66.2,84.3,75.5,1,0,1,338,14.8,71.2,245,Low,Low,1,1,,2026-08-20,Complete
61,0401014064,041014064,Sapac,Urban,6582,1697,1.45,4539.3,10.3,28.1,93,10.2,94.1,88.2,81.3,1,1,1,241,14.6,84.3,205,High,Moderate,1,4,15.6,2026-08-22,Complete
62,0401014066,041014066,Sico,Urban,5191,1313,3.31,1568.3,9.5,24.4,90,24.6,80.3,99.5,80.7,1,0,1,371,13.0,90.9,261,Very High,Moderate,1,2,13.4,2026-08-27,Complete
63,0401014068,041014068,Santo Niño,Urban,3463,809,2.87,1206.6,9.3,20.1,70,23.4,74.9,94.1,82.5,1,0,1,228,14.7,88.4,173,Low,Low,0,1,8.9,2026-09-10,Complete
64,0401014069,041014069,Santo Toribio,Rural,3752,835,5.66,662.9,9.0,20.6,49,12.4,62.6,95.1,82.8,1,0,1,625,5.1,50.1,61,Moderate,Moderate,1,0,17.0,2026-08-14,Complete
65,0401014070,041014070,Talisay,Urban,4883,1080,0.5,9766.0,9.3,21.9,111,13.1,85.1,85.8,80.8,1,1,1,448,8.4,87.9,133,Moderate,Low,1,2,7.1,2026-08-30,Complete
66,0401014071,041014071,Tambo,Urban,10162,2294,0.95,10696.8,8.0,28.7,199,14.8,85.7,96.2,82.0,2,1,2,454,3.3,78.5,55,Low,Low,1,0,10.9,2026-08-28,Complete
67,0401014072,041014072,Tangob,Rural,2944,644,1.52,1936.8,10.6,30.2,37,12.1,43.0,79.7,84.1,1,0,1,349,8.4,53.0,114,Moderate,Low,1,2,8.1,2026-09-10,Complete
68,0401014073,041014073,Tanguay,Rural,4386,997,6.09,720.2,10.9,24.4,116,16.4,46.0,93.4,83.7,1,0,1,229,11.9,85.4,100,High,Mod.,0,1,13.3,2026-09-13,Needs Review
69,0401014074,041014074,Tibig,Urban,9529,2163,1.11,8584.7,7.7,31.3,119,23.0,88.5,84.1,85.2,2,1,3,1020,11.4,83.8,215,Low,Moderate,2,2,13.5,2026-08-11,Complete
70,0401014075,041014075,Tipacan,Urban,3561,956,5.79,615.0,10.6,25.5,77,22.9,62.3,95.4,81.5,1,0,1,532,3.9,79.0,62,High,Moderate,0,3,16.2,2026-09-01,Needs Review
71,0401014076,041014076,Poblacion Barangay 9-A,Rural,657,365,4.79,137.2,7.0,24.1,16,30.9,41.3,85.4,82.2,1,0,1,326,15.5,63.5,282,Low,Low,0,2,7.9,2026-08-19,Complete
72,0401014077,041014077,Barangay 12,Rural,1171,268,6.64,176.4,7.6,24.5,29,31.9,69.8,69.9,62.0,1,0,1,509,4.1,56.8,49,Very High,Moderate,1,3,15.1,2026-08-09,Complete
