facility_id,facility_name,facility_type,barangay_name,operator_type,capacity_persons_synth,staff_count_synth,operational_status_synth,has_backup_power_synth,has_water_storage_synth,access_road_condition_synth,latitude_wgs84_synth,longitude_wgs84_synth,last_inspected_synth,remarks_synth
FAC-001,Balintawak Barangay Hall,Barangay Hall,Balintawak,National Government,110,34,Operational,Yes,No,Good,14.010554,121.113161,2026-08-21,
FAC-002,Halang Barangay Hall,Barangay Hall,Halang,LGU,242,5,Operational,Yes,No,Fair,13.975593,121.125146,2026-07-03,Check accessibility
FAC-003,Mataas Na Lupa Barangay Hall,Barangay Hall,Mataas Na Lupa,Partner Institution,89,33,Operational,Yes,Yes,Fair,13.901639,121.127972,2026-09-06,Update contact details
FAC-004,Poblacion Barangay 10 Barangay Hall,Barangay Hall,Poblacion Barangay 10,Partner Institution,294,25,Limited,Yes,Yes,Good,13.995344,121.186733,2026-07-13,Routine monitoring
FAC-005,Pusil Barangay Hall,Barangay Hall,Pusil,Partner Institution,266,25,Operational,No,No,Good,13.887663,121.226985,2026-07-10,
FAC-006,San Jose Barangay Hall,Barangay Hall,San Jose,LGU,227,3,Operational,Yes,No,Fair,13.89503,121.122103,2026-07-29,Update contact details
FAC-007,Tanguay Barangay Hall,Barangay Hall,Tanguay,Partner Institution,176,13,Operational,Yes,Yes,Fair,13.964359,121.11526,2026-07-01,Check accessibility
FAC-008,Bagong Pook Barangay Hall,Barangay Hall,Bagong Pook,LGU,134,7,Operational,No,No,Good,13.897649,121.233521,2026-09-10,
FAC-009,Dagatan Barangay Hall,Barangay Hall,Dagatan,LGU,97,19,For Inspection,Yes,No,Poor,14.012138,121.157879,2026-07-25,Check accessibility
FAC-010,Malitlit Barangay Hall,Barangay Hall,Malitlit,LGU,50,16,Operational,No,Yes,Good,13.921209,121.195954,2026-07-19,Routine monitoring
FAC-011,Plaridel Barangay Hall,Barangay Hall,Plaridel,Partner Institution,76,4,Operational,No,No,Good,13.941004,121.101066,2026-07-30,Routine monitoring
FAC-012,Poblacion Barangay 8 Barangay Hall,Barangay Hall,Poblacion Barangay 8,Barangay,113,4,Operational,Yes,No,Poor,13.986963,121.203835,2026-07-23,
FAC-013,San Francisco Barangay Hall,Barangay Hall,San Francisco,Partner Institution,38,14,Operational,No,Yes,Good,13.984234,121.237145,2026-07-15,
FAC-014,Tambo Barangay Hall,Barangay Hall,Tambo,National Government,242,2,Operational,No,No,Good,13.938347,121.186586,2026-07-06,Verify signage
FAC-015,Antipolo Del Norte Barangay Hall,Barangay Hall,Antipolo Del Norte,Partner Institution,141,32,Operational,No,No,Fair,13.94421,121.166283,2026-09-08,Verify signage
FAC-016,Calamias Barangay Hall,Barangay Hall,Calamias,National Government,54,13,Operational,Yes,No,Fair,13.999839,121.231865,2026-07-14,
FAC-017,Mabini Barangay Hall,Barangay Hall,Mabini,Partner Institution,258,23,Operational,Yes,Yes,Fair,13.89075,121.084821,2026-08-17,Check accessibility
FAC-018,Pinagkawitan Barangay Hall,Barangay Hall,Pinagkawitan,Partner Institution,139,18,Operational,Yes,No,Good,14.000842,121.239962,2026-07-29,Check accessibility
FAC-019,Poblacion Barangay 6 Barangay Hall,Barangay Hall,Poblacion Barangay 6,National Government,65,35,Operational,No,No,Fair,13.888062,121.221175,2026-07-13,Routine monitoring
FAC-020,San Carlos Barangay Hall,Barangay Hall,San Carlos,Partner Institution,57,20,Operational,Yes,Yes,Good,13.909418,121.139564,2026-07-19,Routine monitoring
FAC-021,Santo Toribio Barangay Hall,Barangay Hall,Santo Toribio,Partner Institution,136,3,Operational,Yes,No,Poor,13.91453,121.105967,2026-07-22,
FAC-022,Anilao Barangay Hall,Barangay Hall,Anilao,Barangay,109,32,Operational,Yes,No,Good,13.96911,121.084485,2026-08-16,Verify signage
FAC-023,Bulacnin Barangay Hall,Barangay Hall,Bulacnin,LGU,47,34,Operational,Yes,No,Fair,13.952002,121.188269,2026-09-14,Verify signage
FAC-024,Lodlod Barangay Hall,Barangay Hall,Lodlod,LGU,33,12,Operational,No,Yes,Fair,13.979651,121.212202,2026-09-02,Verify signage
FAC-025,Pagolingin West Barangay Hall,Barangay Hall,Pagolingin West,Partner Institution,229,7,Operational,No,Yes,Poor,13.973162,121.131085,2026-09-06,Update contact details
FAC-026,Poblacion Barangay 4 Barangay Hall,Barangay Hall,Poblacion Barangay 4,Barangay,193,18,Operational,Yes,Yes,Good,13.904428,121.212686,2026-08-27,
FAC-027,Sampaguita Barangay Hall,Barangay Hall,Sampaguita,LGU,253,10,Operational,Yes,Yes,Fair,14.013835,121.178132,2026-07-15,Check accessibility
FAC-028,Sico Barangay Hall,Barangay Hall,Sico,LGU,101,16,Operational,Yes,No,Fair,13.932368,121.231675,2026-07-28,Update contact details
FAC-029,Barangay 12 Barangay Hall,Barangay Hall,Barangay 12,Partner Institution,243,30,Operational,Yes,Yes,Good,13.898189,121.127516,2026-07-26,Update contact details
FAC-030,Bolbok Barangay Hall,Barangay Hall,Bolbok,Partner Institution,97,7,For Inspection,Yes,Yes,Good,14.004292,121.227505,2026-07-12,Verify signage
FAC-031,Kayumanggi Barangay Hall,Barangay Hall,Kayumanggi,LGU,244,32,Operational,Yes,No,Poor,13.991789,121.191654,2026-07-06,Verify signage
FAC-032,Pagolingin Bata Barangay Hall,Barangay Hall,Pagolingin Bata,Partner Institution,55,32,Limited,Yes,No,Poor,13.97263,121.107546,2026-08-18,Check accessibility
FAC-033,Poblacion Barangay 2 Barangay Hall,Barangay Hall,Poblacion Barangay 2,Barangay,148,10,Operational,Yes,Yes,Good,13.909631,121.14293,2026-07-19,Update contact details
FAC-034,Rizal Barangay Hall,Barangay Hall,Rizal,National Government,153,10,Limited,Yes,Yes,Poor,13.925314,121.202012,2026-07-27,Verify signage
FAC-035,San Salvador Barangay Hall,Barangay Hall,San Salvador,National Government,74,25,Operational,No,Yes,Fair,13.990071,121.195848,2026-09-06,
FAC-036,Tipacan Barangay Hall,Barangay Hall,Tipacan,LGU,187,21,Operational,Yes,No,Good,13.933083,121.114885,2026-08-08,Routine monitoring
FAC-037,Balintawak Barangay Hall,Barangay Hall,Balintawak,Barangay,296,27,Operational,Yes,Yes,Poor,13.926125,121.091835,2026-07-18,Update contact details
FAC-038,Halang Barangay Hall,Barangay Hall,Halang,LGU,101,29,Operational,Yes,No,Good,13.969091,121.209693,2026-09-04,Update contact details
FAC-039,Mataas Na Lupa Barangay Hall,Barangay Hall,Mataas Na Lupa,Barangay,162,24,Operational,No,No,Good,13.990484,121.171242,2026-07-27,Routine monitoring
FAC-040,Poblacion Barangay 10 Barangay Hall,Barangay Hall,Poblacion Barangay 10,Partner Institution,118,4,Operational,No,No,Good,13.94559,121.205699,2026-07-25,Update contact details
FAC-041,Pusil Barangay Hall,Barangay Hall,Pusil,National Government,147,22,Operational,No,Yes,Good,13.986674,121.093007,2026-07-18,Routine monitoring
FAC-042,San Jose Barangay Hall,Barangay Hall,San Jose,National Government,267,31,Limited,Yes,Yes,Good,13.999905,121.086223,2026-07-20,Check accessibility
FAC-043,Tanguay Barangay Hall,Barangay Hall,Tanguay,Partner Institution,181,23,Operational,Yes,Yes,Fair,13.943388,121.082089,2026-09-09,
FAC-044,Bagong Pook Barangay Hall,Barangay Hall,Bagong Pook,Barangay,153,9,For Inspection,Yes,Yes,Good,13.885665,121.095977,2026-07-19,Verify signage
FAC-045,Dagatan Barangay Hall,Barangay Hall,Dagatan,Partner Institution,244,34,Operational,Yes,No,Good,13.893262,121.172223,2026-07-02,Verify signage
FAC-046,Malitlit Barangay Hall,Barangay Hall,Malitlit,LGU,41,19,Operational,Yes,Yes,Good,13.960321,121.113117,2026-08-27,Update contact details
FAC-047,Plaridel Barangay Hall,Barangay Hall,Plaridel,Partner Institution,107,28,Operational,Yes,Yes,Fair,14.002464,121.161966,2026-08-29,Update contact details
FAC-048,Poblacion Barangay 8 Barangay Hall,Barangay Hall,Poblacion Barangay 8,National Government,50,3,For Inspection,No,Yes,Good,13.968935,121.126518,2026-08-12,Routine monitoring
FAC-049,San Francisco Barangay Hall,Barangay Hall,San Francisco,National Government,189,26,Operational,Yes,No,Poor,13.998639,121.112687,2026-08-20,Check accessibility
FAC-050,Tambo Barangay Hall,Barangay Hall,Tambo,LGU,140,19,For Inspection,Yes,Yes,Good,14.007341,121.158317,2026-07-17,Verify signage
FAC-051,Antipolo Del Norte Barangay Hall,Barangay Hall,Antipolo Del Norte,Barangay,163,25,Operational,No,Yes,Poor,13.996378,121.210902,2026-08-15,Verify signage
FAC-052,Calamias Barangay Hall,Barangay Hall,Calamias,National Government,253,4,Operational,No,No,Good,13.968895,121.20008,2026-07-31,Routine monitoring
FAC-053,Mabini Barangay Hall,Barangay Hall,Mabini,Barangay,158,11,Limited,Yes,Yes,Good,13.929643,121.153664,2026-08-06,Verify signage
FAC-054,Pinagkawitan Barangay Hall,Barangay Hall,Pinagkawitan,Partner Institution,105,26,Operational,No,No,Good,13.904405,121.208004,2026-08-10,Check accessibility
