dataset,field_name,description,data_type,unit_or_format,example_or_domain,source_status,participant_notes
ACT01_barangay_profile_RAW.csv,record_id,Sequential training record identifier,Integer,none,1 to 72,Synthetic,
ACT01_barangay_profile_RAW.csv,psgc_10_digit,Philippine Standard Geographic Code for the barangay,Text,10 digits,0401014001,Official PSA,
ACT01_barangay_profile_RAW.csv,correspondence_code,PSGC correspondence code,Text,9 digits,041014001,Official PSA,
ACT01_barangay_profile_RAW.csv,barangay_name,Official barangay name,Text,name,Adya,Official PSA,
ACT01_barangay_profile_RAW.csv,urban_rural,Urban or rural classification,Category,Urban/Rural,Urban,Official PSA,
ACT01_barangay_profile_RAW.csv,population_2024,2024 POPCEN population,Integer,persons,2144,Official PSA,
ACT01_barangay_profile_RAW.csv,estimated_households,Estimated number of households for training,Integer,households,520,Synthetic,
ACT01_barangay_profile_RAW.csv,area_km2_synth,Training-only barangay area,Decimal,km²,2.35,Synthetic,
ACT01_barangay_profile_RAW.csv,population_density_synth,Population divided by synthetic area,Decimal,persons/km²,912.3,Synthetic derived,
ACT01_barangay_profile_RAW.csv,senior_citizen_pct_synth,Estimated share of senior citizens,Decimal,percent,8.4,Synthetic,
ACT01_barangay_profile_RAW.csv,children_0_14_pct_synth,Estimated share aged 0 to 14,Decimal,percent,25.7,Synthetic,
ACT01_barangay_profile_RAW.csv,pwd_count_synth,Estimated persons with disability count,Integer,persons,52,Synthetic,
ACT01_barangay_profile_RAW.csv,low_income_household_pct_synth,Estimated low-income household share,Decimal,percent,18.5,Synthetic,
ACT01_barangay_profile_RAW.csv,internet_access_pct_synth,Estimated household internet access,Decimal,percent,78.2,Synthetic,
ACT01_barangay_profile_RAW.csv,improved_water_access_pct_synth,Estimated access to improved water source,Decimal,percent,92.0,Synthetic,
ACT01_barangay_profile_RAW.csv,solid_waste_collection_coverage_pct_synth,Estimated waste collection coverage,Decimal,percent,88.5,Synthetic,
ACT01_barangay_profile_RAW.csv,school_count_synth,Training count of schools,Integer,facilities,2,Synthetic,
ACT01_barangay_profile_RAW.csv,health_facility_count_synth,Training count of health facilities,Integer,facilities,1,Synthetic,
ACT01_barangay_profile_RAW.csv,evacuation_center_count_synth,Training count of evacuation centers,Integer,facilities,1,Synthetic,
ACT01_barangay_profile_RAW.csv,evacuation_capacity_synth,Combined training evacuation capacity,Integer,persons,450,Synthetic,
ACT01_barangay_profile_RAW.csv,road_length_km_synth,Training road length,Decimal,km,8.6,Synthetic,
ACT01_barangay_profile_RAW.csv,paved_road_pct_synth,Share of road length considered paved,Decimal,percent,91.2,Synthetic,
ACT01_barangay_profile_RAW.csv,streetlight_count_synth,Training streetlight count,Integer,units,115,Synthetic,
ACT01_barangay_profile_RAW.csv,flood_exposure_class_synth,Training flood exposure class,Category,Low/Moderate/High/Very High,Moderate,Synthetic,
ACT01_barangay_profile_RAW.csv,landslide_exposure_class_synth,Training landslide exposure class,Category,Low/Moderate/High/Very High,Low,Synthetic,
ACT01_barangay_profile_RAW.csv,fire_incidents_2025_synth,Training count of fire incidents in 2025,Integer,incidents,1,Synthetic,
ACT01_barangay_profile_RAW.csv,flood_incidents_2025_synth,Training count of flood incidents in 2025,Integer,incidents,2,Synthetic,
ACT01_barangay_profile_RAW.csv,avg_emergency_response_min_synth,Training average emergency response time,Decimal,minutes,9.5,Synthetic,
ACT01_barangay_profile_RAW.csv,last_updated_synth,Training record update date,Date,YYYY-MM-DD,2026-09-14,Synthetic,
ACT01_barangay_profile_RAW.csv,data_status_synth,Training QA status,Category,Complete/Needs Review,Complete,Synthetic,
